                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2671,                 2.5552,                  1.605,                0.14465,                0.21625,                0.08996,                0.03735,                  1.874,                 3.2536,                 2.2731,             0.00054023,             0.00054023,             0.00054023
                      2,                 1.3034,                  2.106,                 1.6281,                0.13296,                0.28697,                0.10435,                0.03772,                 2.1358,                 5.2504,                 2.6334,              0.0010742,              0.0010742,              0.0010742
                      3,                 1.3044,                 2.0903,                 1.6423,                0.06381,                0.17914,                0.05837,                0.01879,                 2.7334,                 9.4673,                 3.1518,              0.0015862,              0.0015862,              0.0015862
                      4,                 1.2867,                 2.0525,                 1.6291,                0.02092,                0.16901,                0.02274,                0.00779,                  2.441,                 12.467,                 2.8769,               0.001568,               0.001568,               0.001568
                      5,                 1.2683,                 1.9924,                 1.6094,                0.67129,                0.11268,                0.08492,                0.03054,                 2.4861,                 6.0346,                 2.9601,               0.001535,               0.001535,               0.001535
                      6,                 1.2442,                 1.9416,                 1.5756,                0.10945,                0.34331,                0.07809,                0.02446,                 2.1001,                 4.4888,                 2.4307,               0.001502,               0.001502,               0.001502
                      7,                 1.2115,                 1.9392,                 1.5537,                0.31732,                0.34023,                0.27278,                0.13106,                 1.7894,                 3.4917,                 2.1826,               0.001469,               0.001469,               0.001469
                      8,                 1.1383,                 1.8465,                 1.5182,                0.14473,                 0.3684,                0.13423,                0.05862,                 1.8616,                 3.0836,                  2.066,               0.001436,               0.001436,               0.001436
                      9,                 1.1594,                  1.798,                 1.5319,                0.14115,                0.37148,                0.18645,                0.07736,                 1.9874,                 2.7113,                 2.2174,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1064,                 1.7589,                 1.4928,                0.35028,                0.45731,                0.24655,                 0.1169,                 1.8453,                 2.5856,                 2.1099,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1127,                 1.7786,                 1.4909,                0.23399,                0.32614,                0.21368,                0.09337,                 1.7495,                  2.256,                 2.0017,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.0768,                  1.727,                 1.4655,                0.19155,                0.36136,                 0.1931,                0.10081,                 1.6387,                 2.2283,                 1.9253,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0391,                 1.6203,                 1.4216,                0.35084,                0.36444,                0.33208,                0.20017,                 1.6462,                 2.2662,                 1.8898,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0085,                 1.6077,                 1.4095,                0.25882,                0.45589,                0.29411,                0.14984,                  1.529,                 2.0311,                 1.8442,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0079,                 1.5806,                 1.4133,                0.29053,                0.42694,                0.27434,                0.14212,                 1.7561,                 2.1755,                 2.0454,              0.0012049,              0.0012049,              0.0012049
                     16,                0.96551,                 1.5518,                 1.3752,                0.23637,                0.44624,                0.29625,                0.16467,                 1.4983,                 2.0775,                 1.7863,              0.0011719,              0.0011719,              0.0011719
                     17,                0.96243,                 1.4721,                 1.3839,                0.25815,                0.48239,                0.27124,                 0.1529,                 1.5518,                 2.2305,                 1.8245,              0.0011389,              0.0011389,              0.0011389
                     18,                0.94115,                 1.4487,                 1.3497,                0.28698,                0.35303,                0.27712,                0.14775,                 1.5355,                 2.2229,                 1.8343,              0.0011059,              0.0011059,              0.0011059
                     19,                0.92799,                 1.4618,                  1.339,                0.36415,                0.42365,                0.31363,                 0.1692,                 1.6665,                 2.0851,                 1.8737,              0.0010729,              0.0010729,              0.0010729
                     20,                0.94159,                 1.4295,                 1.3579,                0.29393,                0.35877,                0.28543,                 0.1547,                 1.5126,                 2.0855,                 1.8152,              0.0010399,              0.0010399,              0.0010399
                     21,                0.87406,                 1.3518,                 1.3087,                0.47684,                0.36356,                 0.3194,                0.19739,                 1.4576,                 2.2548,                 1.7566,              0.0010069,              0.0010069,              0.0010069
                     22,                0.84286,                  1.306,                 1.2886,                0.35987,                 0.4441,                 0.3367,                0.17012,                 1.5875,                 2.1556,                 1.8927,             0.00097386,             0.00097386,             0.00097386
                     23,                0.85988,                 1.2896,                 1.2908,                0.33322,                0.35739,                0.29768,                0.16304,                 1.5692,                 2.2426,                 1.8489,             0.00094085,             0.00094085,             0.00094085
                     24,                0.84659,                 1.3233,                 1.2963,                0.32607,                0.42914,                0.22841,                0.11859,                 1.5904,                 2.5946,                 1.8702,             0.00090785,             0.00090785,             0.00090785
                     25,                0.81695,                 1.1986,                  1.269,                0.34171,                0.42679,                0.32225,                0.20035,                 1.5171,                 2.0636,                 1.7942,             0.00087484,             0.00087484,             0.00087484
                     26,                0.79619,                 1.1776,                 1.2479,                0.44662,                0.43398,                0.43179,                0.24047,                 1.5735,                 1.9135,                 1.8049,             0.00084184,             0.00084184,             0.00084184
                     27,                0.78241,                 1.1568,                 1.2391,                0.45067,                0.26893,                0.28999,                 0.1669,                 1.5826,                 2.2981,                 1.8512,             0.00080883,             0.00080883,             0.00080883
                     28,                0.76898,                 1.0961,                 1.2161,                0.39916,                0.37396,                0.30553,                0.19683,                 1.4778,                  2.297,                 1.7352,             0.00077582,             0.00077582,             0.00077582
                     29,                0.74713,                 1.0664,                 1.2041,                0.45569,                 0.3896,                0.32737,                0.17512,                 1.5808,                 2.1163,                 1.8412,             0.00074282,             0.00074282,             0.00074282
                     30,                0.73494,                 1.0672,                 1.1993,                0.34465,                0.34503,                0.28195,                0.17279,                 1.4792,                 2.3731,                 1.7524,             0.00070981,             0.00070981,             0.00070981
                     31,                0.73814,                 1.0711,                 1.2043,                0.35891,                0.38147,                0.31113,                0.16674,                 1.5409,                 2.3734,                 1.8309,              0.0006768,              0.0006768,              0.0006768
                     32,                0.69134,                0.96658,                 1.1596,                0.44817,                0.36356,                0.36505,                0.24276,                  1.492,                 2.2815,                 1.7731,              0.0006438,              0.0006438,              0.0006438
                     33,                0.69264,                 0.9329,                 1.1761,                0.44804,                0.56327,                0.42823,                0.25655,                 1.5979,                 2.1461,                 1.8979,             0.00061079,             0.00061079,             0.00061079
                     34,                0.67437,                0.95603,                 1.1556,                0.43499,                0.40273,                0.36839,                0.22973,                 1.5946,                   2.11,                  1.929,             0.00057778,             0.00057778,             0.00057778
                     35,                0.67868,                0.94727,                 1.1651,                0.46066,                0.33515,                0.32195,                0.21887,                 1.4809,                 2.3473,                 1.8038,             0.00054478,             0.00054478,             0.00054478
                     36,                0.66332,                0.90133,                 1.1482,                0.42441,                0.48008,                 0.4035,                0.25631,                 1.4164,                 2.2318,                 1.7504,             0.00051177,             0.00051177,             0.00051177
                     37,                0.65631,                0.91092,                 1.1579,                 0.5107,                0.41593,                0.41566,                0.24685,                 1.5459,                 2.1117,                 1.8503,             0.00047876,             0.00047876,             0.00047876
                     38,                0.64095,                0.88426,                 1.1445,                0.42009,                0.48038,                0.37566,                 0.2235,                 1.5908,                  2.128,                 1.9389,             0.00044576,             0.00044576,             0.00044576
                     39,                0.64193,                0.90591,                 1.1425,                0.38604,                0.48856,                0.31245,                0.18209,                 1.6062,                 2.3652,                 1.9315,             0.00041275,             0.00041275,             0.00041275
                     40,                0.62752,                0.83692,                 1.1308,                0.79234,                0.29005,                0.44827,                0.29436,                 1.5305,                 2.2246,                 1.8587,             0.00037974,             0.00037974,             0.00037974
                     41,                0.60709,                0.74281,                 1.1156,                0.59237,                0.32633,                0.42439,                0.28155,                 1.5361,                 2.2611,                 1.8811,             0.00034674,             0.00034674,             0.00034674
                     42,                0.57742,                0.67321,                 1.1053,                0.45099,                0.35055,                0.39535,                0.26896,                 1.5164,                 2.1257,                 1.7849,             0.00031373,             0.00031373,             0.00031373
                     43,                0.56372,                0.63474,                 1.0903,                0.63046,                0.31426,                0.40566,                0.28337,                 1.4568,                 2.2306,                 1.7833,             0.00028072,             0.00028072,             0.00028072
                     44,                0.53871,                0.57944,                 1.0803,                0.40194,                0.43618,                0.36785,                 0.2472,                 1.5061,                  2.414,                 1.8039,             0.00024772,             0.00024772,             0.00024772
                     45,                0.51645,                 0.5632,                 1.0672,                0.54902,                0.41197,                0.41969,                0.28578,                 1.3899,                 2.3008,                 1.6707,             0.00021471,             0.00021471,             0.00021471
                     46,                0.50127,                0.52969,                 1.0501,                0.44348,                0.45335,                 0.4005,                0.26668,                 1.4692,                 2.3459,                  1.798,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.4851,                0.47854,                 1.0293,                0.67106,                0.28155,                0.37991,                0.25234,                 1.5156,                 2.3785,                 1.8487,              0.0001487,              0.0001487,              0.0001487
                     48,                0.47828,                 0.4844,                 1.0413,                0.61216,                0.29058,                0.38751,                0.26732,                 1.4953,                 2.3459,                   1.83,             0.00011569,             0.00011569,             0.00011569
                     49,                0.44602,                 0.4566,                 1.0066,                0.48713,                0.38776,                0.40518,                0.27158,                 1.5094,                 2.2889,                 1.8653,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.43345,                0.46112,                  1.014,                0.56487,                 0.3213,                0.38837,                0.26348,                 1.5092,                 2.3565,                 1.8767,             4.9677e-05,             4.9677e-05,             4.9677e-05
